Id,Key,Created,Updated,Resolved,Expected,Priority,Description,Resolution,Status,Dsc,Dsu,Diff,Ttr,Needed,Categorized,Importance
29646,PLAN-152,2018-08-06,2021-03-03,,2021-04-18,Major,Ability to execute custom commands,Fixed,Under Execution,940,0,940,,Close the PoC,false,9
29724,PLAN-98,2018-08-09,2019-08-30,2019-08-30,,Major,Predefined Checks: Provide additional details in BGP Adjacency Check,Won't Do,Duplicate,937,551,386,386,,false,3
29723,PLAN-84,2018-08-09,2020-01-06,2020-01-06,,Major,Predefined Cheks: Include Interface Description in details list for checks that reference an interface,Won't Do,Duplicate,937,422,515,515,,false,3
29991,PLAN-123,2018-08-28,2019-02-08,2019-02-08,,Major,"Expand CSV Import to allow for credentials, device_type and jump_server information",Won't Do,Duplicate,918,754,164,164,,false,3
30265,PLAN-163,2018-09-07,2018-11-02,2018-11-02,,Major,Include Interface Status in IP Uniqueness Information,Duplicate,Duplicate,908,852,56,56,,false,3
30549,PLAN-179,2018-09-24,2021-02-04,,,Major,Expose Behavioral Diffs via APIs,,OPEN,891,27,864,,,false,6
31047,PLAN-239,2018-10-29,2021-03-03,,2021-09-30,Unknown,Progressive Analysis,Fixed,Under Consideration,856,0,856,,Close the PoC,false,9
32065,PLAN-338,2018-12-26,2019-04-19,2019-04-19,,Unknown,"Need to determine ""Net New"" check failures between two snapshots",Duplicate,Duplicate,798,684,114,114,,false,3
32113,PLAN-342,2019-01-03,2019-02-13,2019-02-13,,Unknown,VLAN Consistency should provide indication of System VLAN Database mismatch,Duplicate,Duplicate,790,749,41,41,,false,1
32330,PLAN-353,2019-01-24,2021-03-03,,2021-12-31,Unknown,Add support for CloudGenix SDWAN,Fixed,OPEN,769,0,769,,Improvement for Post Production,true,8
33343,PLAN-404,2019-04-03,2021-02-04,,,Major,NQE: Add communities to BGP route attributes,,OPEN,700,27,673,,,true,5
34419,PLAN-429,2019-05-02,2021-02-04,2021-01-05,,Unknown,Improve disk space management,Duplicate,Duplicate,671,27,644,614,,true,5
34779,PLAN-445,2019-05-30,2021-02-21,,,Unknown,Support MSDP on Arista,,OPEN,643,10,633,,,true,6
